cve_programa,E003,E016,E064,E066,S016,S017,S020,S021,S038,S043,S048,S052,S054,S057,S058,S061,S065,S071,S072,S117,S118,S174,S176,S178,S203,S216,S219,S241,S249,S257,S258,S259,S261,S265,S274,U005,U009,U010,U011,U020,U036,nombre_programa
E003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instituto Nacional de las Personas Adultas Mayores (Servicios a grupos con necesidades especiales)
E016,0.6851902604103088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generación y Articulación de Polí­ticas Públicas Integrales de Juventud
E064,0.2613789439201355,0.30908212065696716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención a la Demanda de Educacion para Adultos (INEA)
E066,0.34333139657974243,0.17915666103363037,0.6828866600990295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prestación de Servicios de Educación Inicial y Bí¡sica Comunitaria
S016,0.7054187059402466,0.37203317880630493,0.048647746443748474,0.2353409230709076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondo de Microfinanciamiento a Mujeres Rurales
S017,0.4018245339393616,0.2971367835998535,0.2020147740840912,0.3257819414138794,0.7746607065200806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fomento a la Economia Social
S020,0.7570853233337402,0.6030210256576538,0.11072170734405518,0.14453911781311035,0.7704057693481445,0.5730844140052795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fondo Nacional Emprendedor
S021,0.4670467972755432,0.08016511797904968,0.15734124183654785,0.3051469624042511,0.6922789812088013,0.17042163014411926,0.5301876068115234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programa Nacional de Financiamiento al Microempresario y a la Mujer Rural
S038,0.5758254528045654,0.6530994176864624,0.6811769604682922,0.5600664615631104,0.3273175358772278,0.1818682849407196,0.30573710799217224,0.22589120268821716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMSS - Prospera
S043,0.2074974775314331,0.14358772337436676,0.3517232835292816,0.25990456342697144,0.48590075969696045,0.3848608732223511,0.27277544140815735,0.5290861129760742,0.24012109637260437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apoyo al Empleo
S048,0.609656810760498,0.5909436941146851,0.37103208899497986,0.4530814290046692,0.5567266941070557,0.5005109906196594,0.5232496857643127,0.3358941376209259,0.5531989932060242,0.31698909401893616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitat
S052,0.34462055563926697,0.4881623387336731,0.29077035188674927,0.4507928788661957,0.2990299463272095,0.35259974002838135,0.1565752476453781,-0.06216203421354294,0.5271778106689453,0.10589639842510223,0.6257800459861755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abasto Social de Leche a cargo de Liconsa, S.A. de C.V."
S054,0.29168859124183655,0.114739790558815,-0.3043365478515625,-0.2230014204978943,0.3274517059326172,0.28883761167526245,0.44600605964660645,0.07062120735645294,-0.0003008618950843811,-0.2181190550327301,0.12867508828639984,0.10081582516431808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opciones Productivas
